State,Source,Sector,Gas,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
USA.AL,US,Total excluding LUCF,CH4,23.71078238,23.47930773,22.60143312,21.09571374,23.15115253,25.34117924,23.45241786,21.70290854,21.7220874,21.08956422,21.04929286,19.80633651,18.17977711,18.48761974,17.93833638,16.85505572,16.64557355,17.98847533,21.08331673,21.01454024,20.14553282,18.37259295,17.1970533,16.67754793,16.18997635,14.29186342,13.3652975,15.19191194,13.80160589
USA.AL,US,Total excluding LUCF,CO2,112.1571281,116.3134298,123.1302602,127.6238564,126.0173815,133.7384201,139.8015153,140.1888945,138.0090148,139.9313568,145.9742358,137.569206,143.0600942,144.3114587,146.9299359,148.3295054,151.3225869,152.6756262,144.544388,123.7075322,137.0976087,133.523001,127.1365808,125.0364882,127.5215244,124.6023716,119.4780297,113.6972408,117.5587691
USA.AL,US,Total excluding LUCF,F-Gas,0.515224524,0.499680785,0.525109151,0.584387868,0.703900011,0.954704352,1.128290219,1.290702663,1.376541782,1.521126956,1.600097856,1.670386135,1.73243548,1.777954912,1.819560628,1.868365334,1.950134689,2.045274856,2.170789644,2.306484046,2.444444588,2.480764785,2.482573553,2.499058345,2.563991981,2.598377237,2.615782206,2.599003355,2.606505528
USA.AL,US,Total excluding LUCF,N2O,6.034132189,6.029814826,6.187902289,6.597901229,6.27045327,6.252004824,6.440509722,6.192476693,6.332828795,6.004536799,5.754257491,5.822213139,5.530356877,5.527880161,5.601359354,5.368439425,5.151707311,5.229498469,5.116308143,4.716370799,4.664125103,4.440273126,4.384825983,4.979695382,4.938692088,4.838933273,4.374689317,4.420308152,4.455704446
USA.AL,US,Total including LUCF,All GHG,81.64589411,85.39018623,91.79149233,88.87027407,88.51357912,99.92038388,104.0825602,103.7034961,101.9775162,103.237825,108.514889,98.83282771,101.6924042,103.2096825,105.1761436,104.8386493,106.6172951,109.6081623,103.8804957,82.25258415,94.49512071,87.28523458,78.49833935,76.8290865,78.54609429,73.69774314,66.68412849,63.06679389,66.05879108
USA.AL,US,Transportation ,All GHG,29.58273267,30.2164634,31.04119069,31.11057054,32.38939867,33.93918108,33.34819398,32.98963652,33.59699717,33.90831771,35.22403306,33.08235175,34.92881589,33.79354154,36.20074386,35.98853621,36.43429586,36.64382948,33.81564437,32.66140224,32.99155876,33.0229115,32.48867691,32.1857872,32.17805395,33.4760567,35.24522894,34.41405063,33.73615196
USA.AL,US,Transportation ,CH4,0.170533748,0.166672597,0.170326776,0.169023072,0.166612697,0.161909251,0.153031348,0.146359869,0.139077281,0.128193921,0.119265342,0.114298054,0.100641099,0.093637055,0.087340853,0.080713026,0.07442718,0.069742351,0.062131215,0.054313218,0.057846153,0.058262503,0.0556693,0.051103197,0.050965643,0.052297507,0.055184111,0.054073452,0.054865683
USA.AL,US,Transportation ,CO2,28.14687675,28.7118337,29.40299246,29.39371424,30.60867593,32.11624498,31.52666157,31.14362045,31.74485921,32.12689482,33.51439512,31.47542843,33.46802145,32.43558507,34.9621695,34.86217682,35.42525204,35.74069273,33.04908692,32.0457212,32.37393442,32.45932655,31.99185917,31.75768352,31.78667207,33.10820535,34.88435886,34.08736314,33.42613535
USA.AL,US,Transportation ,N2O,1.265322173,1.337957102,1.467871451,1.547833231,1.614110038,1.661026849,1.668501061,1.699656203,1.713060678,1.653228972,1.590372595,1.492625265,1.360153334,1.264319411,1.151233507,1.045646371,0.934616635,0.833394405,0.704426235,0.561367824,0.559778186,0.50532245,0.441148438,0.377000482,0.340416237,0.315553841,0.305685972,0.272614041,0.255150934
USA.AL,US,Waste ,All GHG,3.640998526,3.768221689,3.948276595,3.991433416,4.090882575,4.188099576,4.282601166,4.3664433,4.443027403,4.24592243,4.287084653,4.493875985,4.649034349,4.58343456,4.532169406,4.682908773,4.848323544,4.982206207,4.907107634,4.91360686,4.63403383,4.589059329,3.887940315,3.673506383,3.814805402,3.801034315,3.79067943,3.782613722,3.597489804
USA.AL,US,Waste ,CH4,3.488792476,3.590003657,3.650763711,3.749268405,3.844371318,3.938686015,4.020495547,4.099468901,4.16946824,3.96156847,4.002164379,4.191649779,4.327869507,4.298973944,4.289411673,4.428040012,4.583420784,4.732012349,4.666599425,4.711555394,4.424011456,4.379950831,3.676189156,3.459347658,3.595080333,3.578932065,3.566002464,3.55677299,3.37126379
USA.AL,US,Waste ,CO2,0.0327132,0.055867842,0.168951909,0.114093203,0.115174557,0.118143869,0.128926669,0.13387556,0.13844286,0.146522668,0.144789888,0.163554023,0.180871384,0.143490797,0.101182057,0.114359269,0.12129789,0.10679003,0.098464538,0.060946002,0.066603195,0.0681448,0.068982735,0.071050341,0.073142967,0.075195054,0.077420686,0.078261141,0.078261141
USA.AL,US,Waste ,N2O,0.119492851,0.12235019,0.128560975,0.128071808,0.1313367,0.131269692,0.133178951,0.133098839,0.135116303,0.137831292,0.140130387,0.138672184,0.140293458,0.140969818,0.141575676,0.140509491,0.143604871,0.143403827,0.142043671,0.141105464,0.143419179,0.140963698,0.142768424,0.143108384,0.146582102,0.146907196,0.14725628,0.147579591,0.147964873
USA.AK,US,Agriculture ,All GHG,0.064636321,0.058575935,0.05713067,0.064322462,0.060772784,0.065349644,0.063354081,0.066054509,0.071620578,0.073185634,0.066705274,0.073776738,0.076126649,0.078498602,0.081596678,0.081887696,0.084377883,0.090391366,0.09199596,0.090154553,0.09194657,0.089763338,0.087693283,0.087063367,0.086325287,0.090654516,0.089807633,0.091482848,0.100171024
USA.AK,US,Agriculture ,CH4,0.017757113,0.016623121,0.01712232,0.01764839,0.020847156,0.021845536,0.023674174,0.026979653,0.029950356,0.031720192,0.028033308,0.029638785,0.031921584,0.033289173,0.035618002,0.037003239,0.038235117,0.040586085,0.037199036,0.035767824,0.035408118,0.034757137,0.035031518,0.031270281,0.030777119,0.033301145,0.035446091,0.037095126,0.041336031
USA.AK,US,Agriculture ,N2O,0.046879208,0.041952815,0.04000835,0.046674073,0.039925628,0.043504108,0.039679907,0.039074856,0.041670222,0.041465442,0.038671966,0.044137953,0.044205065,0.045209428,0.045978676,0.044884457,0.046142766,0.049805281,0.054796924,0.054386729,0.056538451,0.055006201,0.052661765,0.055793085,0.055548168,0.057353371,0.054361542,0.054387722,0.058834993
USA.AK,US,Bunker Fuels ,All GHG,0,0.000449872,5.99E-05,0.000131559,0.000547072,0.000527035,0.000901633,0.000650427,0.000743641,0.000390295,0.000382516,0.000459316,0.000405247,0.000483334,0.00019398,1.81E-05,1.26E-05,1.72E-05,8.62E-09,0,0,6.46E-06,3.45E-07,3.45E-07,3.45E-07,3.45E-07,3.45E-07,3.45E-07,3.45E-07
USA.AK,US,Bunker Fuels ,CO2,0,0.000449872,5.99E-05,0.000131559,0.000547072,0.000527035,0.000901633,0.000650427,0.000743641,0.000390295,0.000382516,0.000459316,0.000405247,0.000483334,0.00019398,1.81E-05,1.26E-05,1.72E-05,8.62E-09,0,0,6.46E-06,3.45E-07,3.45E-07,3.45E-07,3.45E-07,3.45E-07,3.45E-07,3.45E-07
USA.AK,US,Commercial,All GHG,2.210446084,2.246396721,2.529398939,2.577333989,2.601779041,2.51671273,2.726249821,2.578058163,2.682155148,2.840863965,2.705891703,2.502922355,2.081100516,1.957971951,2.223299142,2.134255596,2.433020403,2.206852719,2.387393417,2.224569973,2.614115087,2.811165554,2.692319948,2.453711637,2.384543104,2.621692076,2.079307801,2.092084592,2.071429364
USA.AK,US,Commercial,CH4,0.006921124,0.00705059,0.00803013,0.008779037,0.008753935,0.008199528,0.008926214,0.008661226,0.008453432,0.009029996,0.008745872,0.01013224,0.008784722,0.008620537,0.00921083,0.006750358,0.00756366,0.006825809,0.007453328,0.008026389,0.00931697,0.00961208,0.008946966,0.008535684,0.008489102,0.013198212,0.013554437,0.012653378,0.011941289
USA.AK,US,Commercial,CO2,2.198751808,2.234462825,2.515809212,2.562518997,2.587097705,2.503188907,2.711788547,2.564068617,2.668152018,2.825909228,2.691550974,2.486470414,2.067014008,1.944539512,2.208587059,2.122357312,2.419621912,2.195041569,2.373934013,2.210807475,2.597967623,2.794439192,2.676681437,2.438923767,2.370008958,2.601274459,2.059611793,2.073308342,2.053446989
