Country,State,Year,Population,All GHG,CH4,CO2,N2O,F-Gas
US,IN,1998,5998880,478.194328667,4.185184239,297.258419861,11.235296909,0
US,IN,1999,6044969,490.297596065,4.211543032,291.453245268,10.411442319,0
US,IN,2000,6091866,513.807116315,4.489087004,289.350107311,10.574647816,0
US,IN,2001,6127760,495.64753341,4.410110092,287.138307001,10.166934425,0
US,IN,2002,6155967,497.907953549,4.422533068,262.84993447,10.233725316,0
US,IN,2003,6196638,511.390829324,4.541739867,265.043795104,9.853061736,0
US,IN,2004,6233007,516.96412865,4.504650021,254.342926186,9.368004358,0
US,IN,2005,6278616,511.024840972,4.153414738,247.984905228,9.143912902,0
US,IN,2006,6332669,508.267834186,1.146274608,181.293000948,9.316633059,0
US,IN,2007,6379599,506.574247295,1.135294073,180.328407525,9.287865942,0
US,IN,2008,6424806,499.17261205,1.15297099,169.258572602,9.038722009,0
US,IN,2009,6459325,450.002132033,1.186260239,169.223061709,10.00376441,0
US,IN,2010,6490555,473.297810703,1.208299389,157.847129,9.834529951,0
US,IN,2011,6517250,457.543913402,1.144890265,166.336708727,9.925171511,0
US,IN,2012,6538989,428.310353386,1.19243528,163.32100659,10.729246974,0
US,IN,2013,6570575,439.146139312,1.110855754,152.793124694,11.659102512,0
US,IN,2014,6596019,451.090173279,1.208566209,157.62412952,12.147769491,0
US,IN,2015,6611442,414.120122942,1.256429305,173.013176642,12.791433541,0
US,IN,2016,6637898,403.402540243,1.583857611,174.695204404,12.686100981,0
US,IN,2017,6662068,391.053681855,1.60578195,179.930480651,11.850740558,0
US,IN,2018,6698481,420.414016957,1.601306068,182.452376977,12.278203717,0
US,IA,1997,2891119,189.961416592,9.956771699,365.51963132,31.789174317,0
US,IA,1998,2902872,194.580794844,9.977720235,377.500645068,30.667083496,0
US,IA,1999,2917634,195.303183885,9.928086259,366.605601286,32.498141306,0
US,IA,2000,2929067,191.695148726,9.941944946,369.172456606,33.241366165,0
US,IA,2001,2931997,190.641803722,9.616605235,388.835197845,33.52993277,0
US,IA,2002,2934234,191.92742925,9.5023827,356.017314849,32.269370338,0
US,IA,2003,2941999,189.372480751,8.925445115,363.80768092,32.371947192,0
US,IA,2004,2953635,195.679755221,9.057792048,377.413625274,37.800252071,0
US,IA,2005,2964454,196.207637715,8.62361359,363.882329436,35.901559316,0
US,IA,2006,2982644,196.192717219,8.819089527,357.815064055,35.818903913,0
US,IA,2007,2999212,211.618090061,8.827053145,363.008566406,37.04865747,0
US,IA,2008,3016734,217.693273215,9.000611025,368.430326652,35.426667584,0
US,IA,2009,3032870,208.150947172,9.021192747,355.36520363,33.970618784,0
US,IA,2010,3050819,220.538349659,9.075833314,356.389403637,34.501030712,0
US,IA,2011,3066772,213.445693522,9.176169825,367.657810238,33.339445738,0
US,IA,2012,3076844,198.720998737,9.065987362,356.249692294,33.326003782,0
US,IA,2013,3093935,207.847319334,9.195254879,342.360982658,32.669276218,0
US,IA,2014,3110643,212.275205294,9.049171158,354.87656129,31.503464985,0
US,IA,2015,3122541,201.88822499,8.748851342,360.097237539,34.475057999,0
US,IA,2016,3133210,191.350197752,8.421720575,350.672307733,33.194584359,0
US,IA,2017,3143734,196.31376449,7.884313792,349.176901932,33.661906308,0
US,IA,2018,3149900,210.487619927,7.588182556,347.237298984,33.451863157,0
US,KS,1997,2635292,188.473152538,17.422133333,181.767060565,26.383853674,0
US,KS,1998,2660598,184.27524574,16.8970561,182.707838411,29.289734763,0
US,KS,1999,2678338,187.923233801,16.790928809,181.130263423,27.734837692,0
US,KS,2000,2693681,189.01379537,17.236664148,178.796141909,26.859873981,0
US,KS,2001,2702162,182.586975197,17.814380144,180.931034155,27.087865398,0
US,KS,2002,2713535,191.290769671,18.041250682,179.90253964,26.20493137,0
US,KS,2003,2723004,195.002528365,18.177737458,169.864294037,27.222776041,0
US,KS,2004,2734373,194.226978698,17.839901132,164.699069352,21.901589912,0
US,KS,2005,2745299,187.17044784,19.546532653,164.576939014,21.602766654,0
US,KS,2006,2762931,186.064155261,19.871094392,156.786893751,19.879406844,0
US,KS,2007,2783785,200.073161628,20.577001439,156.58794294,21.81086961,0
US,KS,2008,2808076,191.458321272,18.230478744,145.196296478,23.745650875,0
US,KS,2009,2832704,190.295169504,17.792451196,142.661742917,21.809424162,0
US,KS,2010,2858266,189.732010792,15.933676757,151.114830242,23.137375137,0
US,KS,2011,2869677,185.080621177,15.071451913,153.81394525,24.085237388,0
US,KS,2012,2886024,174.12288871,14.423932003,151.105196762,24.035608125,0
US,KS,2013,2894306,184.752328831,13.845100512,161.520834868,22.176527953,0
US,KS,2014,2901861,186.107273448,13.542621175,148.223818303,21.859743663,0
US,KS,2015,2910717,175.16703687,12.714552621,152.59102553,22.357979756,0
US,KS,2016,2912977,169.86778646,11.545625979,93.714953795,22.689476077,0
US,KS,2017,2910892,162.242188471,17.67647119,90.09577735,22.430449879,0
US,KS,2018,2912748,170.357528726,24.389327009,94.245511722,21.645587733,0
US,KY,1997,3952747,298.936255033,16.065559076,47.106765462,25.081890062,0
US,KY,1998,3985390,294.091736583,18.023315929,131.185942152,25.655244482,0
US,KY,1999,4018053,301.202589842,18.35942309,134.378550132,25.091744774,0
US,KY,2000,4049021,300.82981154,17.618715768,132.871495892,24.895214974,0
US,KY,2001,4068132,310.182139567,17.743467495,127.927088319,25.806237611,0
US,KY,2002,4089875,310.319341958,17.787029061,134.579143068,45.491371708,0
US,KY,2003,4117170,302.568585037,17.031139539,131.516985395,43.76881766,0
US,KY,2004,4146101,316.45665408,17.108354617,135.025298195,45.540099765,0
US,KY,2005,4182742,319.255471376,16.512471255,141.189673362,44.656374064,0
US,KY,2006,4219239,327.140190452,16.867660429,140.182343186,44.351935046,0
US,KY,2007,4256672,327.29420607,17.136999199,139.000471621,44.403368972,0
US,KY,2008,4289878,323.081954632,16.87667888,135.696195289,45.959358204,0
US,KY,2009,4317074,305.20591606,17.536129306,136.940611242,45.848882982,0
US,KY,2010,4348464,318.521567637,17.277938469,133.575730255,46.836136663,0
US,KY,2011,4370817,311.382594298,17.527085247,132.366979938,46.039653428,0
US,KY,2012,4387865,287.752948959,17.753690477,131.483526755,43.117228869,0
US,KY,2013,4406906,290.40438077,18.191373994,125.232235559,48.7669494,0
US,KY,2014,4416992,293.365814205,18.512218667,117.006510219,49.422444849,0
US,KY,2015,4429126,274.331122307,18.883469311,122.586785982,46.890007923,0
US,KY,2016,4440306,262.920605236,19.680865879,117.314796901,49.033426982,0
US,KY,2017,4455590,238.967522445,19.972181731,109.344388452,49.590828602,0
US,KY,2018,4464273,250.682740182,12.30818716,108.952351153,47.46881782,0
US,LA,1997,4421071,486.451845915,20.229558785,375.657807534,50.223710242,0
US,LA,1998,4440344,458.10539998,19.281551188,366.441781993,51.430189303,0
US,LA,1999,4460811,452.847271322,18.214807172,349.84713117,49.592676017,0
US,LA,2000,4471885,476.961142049,18.200580273,348.064310639,49.531720178,0
US,LA,2001,4477875,427.285352018,17.024184366,337.451515776,47.920280128,0
US,LA,2002,4497267,441.034571308,16.319906388,324.271010669,26.444009384,0
US,LA,2003,4521042,430.557506832,15.75980991,340.667255278,26.857355938,0
US,LA,2004,4552238,446.047500348,15.74233391,340.399648372,27.096713089,0
US,LA,2005,4576628,428.021579981,16.142437583,331.586715792,25.415919501,0
US,LA,2006,4302665,440.342808708,17.086183634,335.933995801,25.441858596,0
US,LA,2007,4375581,432.946419941,17.157070904,338.125943586,26.117308385,0
US,LA,2008,4435586,420.324495379,17.311929699,347.488181645,21.899808452,0
US,LA,2009,4491648,402.49134881,16.084377651,366.213119373,21.778755491,0
US,LA,2010,4544635,441.555307874,16.367534548,363.228049096,21.754480263,0
US,LA,2011,4576244,449.192853423,16.320064407,367.345992265,23.224334129,0
US,LA,2012,4602067,429.535529508,16.666350451,372.702144858,22.786074492,0
US,LA,2013,4626040,421.332160417,17.17764341,382.985740757,21.956999557,0
US,LA,2014,4645938,413.402989903,17.229395488,357.352344013,24.546100608,0
US,LA,2015,4666998,418.533903882,16.918009376,365.162415191,23.566897967,0
US,LA,2016,4681346,426.951685528,29.769876745,363.48828486,24.897033671,0
US,LA,2017,4673673,436.741422991,29.825528948,366.41181025,24.733744978,0
US,LA,2018,4664450,437.529694846,30.600582364,376.417412944,22.632488976,0
US,ME,1997,1254774,32.059776374,26.365683629,171.766791471,2.271709292,0
US,ME,1998,1259127,31.055392387,27.140713949,167.397860669,2.215594939,0
US,ME,1999,1266808,32.682140888,26.98412877,173.425744442,2.230942645,0
US,ME,2000,1277072,35.872965635,40.064993966,107.47865748,2.688655608,0
US,ME,2001,1285692,35.923471928,40.403479519,118.096911641,2.618928213,0
US,ME,2002,1295960,38.308354359,39.908414081,116.878879148,2.565992974,0
US,ME,2003,1306513,37.156821231,40.270636934,116.043782505,2.608458521,0
US,ME,2004,1313688,37.480051744,40.949153018,120.29054445,2.44602205,0
